movie_id,title,budget,revenue,release_date,movie_url
79698,The Lovers,35000000,11106,2015-02-13,https://www.the-numbers.com//movie/Lovers-The-(2015)#tab=summary
7978,The Wolfman,150000000,142634358,2010-02-11,https://www.the-numbers.com//movie/Wolf-Man-The#tab=summary
10588,The Cat in the Hat,109000000,133818283,2003-11-21,https://www.the-numbers.com//movie/Cat-in-the-Hat-The#tab=summary
10214,Son of the Mask,100000000,59918422,2005-02-18,https://www.the-numbers.com//movie/Son-of-the-Mask#tab=summary
77953,The Campaign,95000000,104907746,2012-08-09,https://www.the-numbers.com//movie/Campaign-The#tab=summary
258509,Alvin and the Chipmunks: The Road Chip,90000000,249520430,2015-12-17,https://www.the-numbers.com//movie/Alvin-and-the-Chipmunks-The-Road-Chip#tab=summary
10357,Volcano,90000000,120100000,1997-04-25,https://www.the-numbers.com//movie/Volcano#tab=summary
51052,Arthur Christmas,85000000,149717124,2011-02-22,https://www.the-numbers.com//movie/Arthur-Christmas#tab=summary
146216,RED 2,84000000,137162560,2013-07-18,https://www.the-numbers.com//movie/RED-2#tab=summary
12096,The Pink Panther,80000000,158926474,2006-01-18,https://www.the-numbers.com//movie/Pink-Panther-The-(2006)#tab=summary
9822,Mighty Joe Young,80000000,50632037,1998-12-25,https://www.the-numbers.com//movie/Mighty-Joe-Young#tab=summary
9678,Little Nicky,80000000,58270391,2000-11-10,https://www.the-numbers.com//movie/Little-Nicky#tab=summary
36970,Oceans,80000000,86787530,2009-10-17,https://www.the-numbers.com//movie/Oceans#tab=summary
293644,Top Cat Begins,8000000,4582848,2015-10-30,https://www.the-numbers.com//movie/Don-Gato-el-inicio-de-la-pandilla-(Mexico)#tab=summary
332,Inspector Gadget,75000000,97387965,1999-07-23,https://www.the-numbers.com//movie/Inspector-Gadget#tab=summary
1439,Anna and the King,75000000,39251128,1999-12-16,https://www.the-numbers.com//movie/Anna-and-the-King#tab=summary
10395,Wolf,70000000,131011757,1994-06-17,https://www.the-numbers.com//movie/Wolf#tab=summary
11535,Rollerball,70000000,25852508,2002-02-08,https://www.the-numbers.com//movie/Rollerball#tab=summary
11820,Mona Lisa Smile,65000000,141205169,2003-12-19,https://www.the-numbers.com//movie/Mona-Lisa-Smile#tab=summary
9440,Primary Colors,65000000,39017984,1998-03-20,https://www.the-numbers.com//movie/Primary-Colors#tab=summary
11983,Proof of Life,65000000,62761005,2000-12-08,https://www.the-numbers.com//movie/Proof-of-Life#tab=summary
10783,Lucky Numbers,65000000,10014234,2000-10-27,https://www.the-numbers.com//movie/Lucky-Numbers#tab=summary
9955,Blades of Glory,61000000,145594548,2007-03-30,https://www.the-numbers.com//movie/Blades-of-Glory#tab=summary
11199,Wild Hogs,60000000,253555383,2007-03-02,https://www.the-numbers.com//movie/Wild-Hogs#tab=summary
5994,The Family Man,60000000,124715863,2000-12-12,https://www.the-numbers.com//movie/Family-Man-The#tab=summary
