movie_id,title,id,name
19995,Avatar,28,Action
19995,Avatar,12,Adventure
19995,Avatar,14,Fantasy
19995,Avatar,878,Science Fiction
285,Pirates of the Caribbean: At World's End,12,Adventure
285,Pirates of the Caribbean: At World's End,14,Fantasy
285,Pirates of the Caribbean: At World's End,28,Action
206647,Spectre,28,Action
206647,Spectre,12,Adventure
206647,Spectre,80,Crime
49026,The Dark Knight Rises,28,Action
49026,The Dark Knight Rises,80,Crime
49026,The Dark Knight Rises,18,Drama
49026,The Dark Knight Rises,53,Thriller
49529,John Carter,28,Action
49529,John Carter,12,Adventure
49529,John Carter,878,Science Fiction
559,Spider-Man 3,14,Fantasy
559,Spider-Man 3,28,Action
559,Spider-Man 3,12,Adventure
38757,Tangled,16,Animation
38757,Tangled,10751,Family
99861,Avengers: Age of Ultron,28,Action
99861,Avengers: Age of Ultron,12,Adventure
99861,Avengers: Age of Ultron,878,Science Fiction
767,Harry Potter and the Half-Blood Prince,12,Adventure
767,Harry Potter and the Half-Blood Prince,14,Fantasy
767,Harry Potter and the Half-Blood Prince,10751,Family
209112,Batman v Superman: Dawn of Justice,28,Action
209112,Batman v Superman: Dawn of Justice,12,Adventure
209112,Batman v Superman: Dawn of Justice,14,Fantasy
1452,Superman Returns,12,Adventure
1452,Superman Returns,14,Fantasy
1452,Superman Returns,28,Action
1452,Superman Returns,878,Science Fiction
10764,Quantum of Solace,12,Adventure
10764,Quantum of Solace,28,Action
10764,Quantum of Solace,53,Thriller
10764,Quantum of Solace,80,Crime
58,Pirates of the Caribbean: Dead Man's Chest,12,Adventure
58,Pirates of the Caribbean: Dead Man's Chest,14,Fantasy
58,Pirates of the Caribbean: Dead Man's Chest,28,Action
57201,The Lone Ranger,28,Action
57201,The Lone Ranger,12,Adventure
57201,The Lone Ranger,37,Western
49521,Man of Steel,28,Action
49521,Man of Steel,12,Adventure
49521,Man of Steel,14,Fantasy
49521,Man of Steel,878,Science Fiction
2454,The Chronicles of Narnia: Prince Caspian,12,Adventure
2454,The Chronicles of Narnia: Prince Caspian,10751,Family
2454,The Chronicles of Narnia: Prince Caspian,14,Fantasy
24428,The Avengers,878,Science Fiction
24428,The Avengers,28,Action
24428,The Avengers,12,Adventure
1865,Pirates of the Caribbean: On Stranger Tides,12,Adventure
1865,Pirates of the Caribbean: On Stranger Tides,28,Action
1865,Pirates of the Caribbean: On Stranger Tides,14,Fantasy
41154,Men in Black 3,28,Action
41154,Men in Black 3,35,Comedy
41154,Men in Black 3,878,Science Fiction
122917,The Hobbit: The Battle of the Five Armies,28,Action
122917,The Hobbit: The Battle of the Five Armies,12,Adventure
122917,The Hobbit: The Battle of the Five Armies,14,Fantasy
1930,The Amazing Spider-Man,28,Action
1930,The Amazing Spider-Man,12,Adventure
1930,The Amazing Spider-Man,14,Fantasy
20662,Robin Hood,28,Action
20662,Robin Hood,12,Adventure
57158,The Hobbit: The Desolation of Smaug,12,Adventure
57158,The Hobbit: The Desolation of Smaug,14,Fantasy
2268,The Golden Compass,12,Adventure
2268,The Golden Compass,14,Fantasy
254,King Kong,12,Adventure
254,King Kong,18,Drama
254,King Kong,28,Action
597,Titanic,18,Drama
597,Titanic,10749,Romance
597,Titanic,53,Thriller
271110,Captain America: Civil War,12,Adventure
271110,Captain America: Civil War,28,Action
271110,Captain America: Civil War,878,Science Fiction
44833,Battleship,53,Thriller
44833,Battleship,28,Action
44833,Battleship,12,Adventure
44833,Battleship,878,Science Fiction
135397,Jurassic World,28,Action
135397,Jurassic World,12,Adventure
135397,Jurassic World,878,Science Fiction
135397,Jurassic World,53,Thriller
37724,Skyfall,28,Action
37724,Skyfall,12,Adventure
37724,Skyfall,53,Thriller
558,Spider-Man 2,28,Action
558,Spider-Man 2,12,Adventure
558,Spider-Man 2,14,Fantasy
68721,Iron Man 3,28,Action
68721,Iron Man 3,12,Adventure
68721,Iron Man 3,878,Science Fiction
12155,Alice in Wonderland,10751,Family
12155,Alice in Wonderland,14,Fantasy
12155,Alice in Wonderland,12,Adventure
36668,X-Men: The Last Stand,12,Adventure
36668,X-Men: The Last Stand,28,Action
36668,X-Men: The Last Stand,878,Science Fiction
36668,X-Men: The Last Stand,53,Thriller
62211,Monsters University,16,Animation
62211,Monsters University,10751,Family
8373,Transformers: Revenge of the Fallen,878,Science Fiction
8373,Transformers: Revenge of the Fallen,28,Action
8373,Transformers: Revenge of the Fallen,12,Adventure
91314,Transformers: Age of Extinction,878,Science Fiction
91314,Transformers: Age of Extinction,28,Action
91314,Transformers: Age of Extinction,12,Adventure
68728,Oz: The Great and Powerful,14,Fantasy
68728,Oz: The Great and Powerful,12,Adventure
68728,Oz: The Great and Powerful,10751,Family
102382,The Amazing Spider-Man 2,28,Action
102382,The Amazing Spider-Man 2,12,Adventure
102382,The Amazing Spider-Man 2,14,Fantasy
20526,TRON: Legacy,12,Adventure
20526,TRON: Legacy,28,Action
20526,TRON: Legacy,878,Science Fiction
49013,Cars 2,16,Animation
49013,Cars 2,10751,Family
49013,Cars 2,12,Adventure
49013,Cars 2,35,Comedy
44912,Green Lantern,12,Adventure
44912,Green Lantern,28,Action
44912,Green Lantern,53,Thriller
