movie_id,title,id,name
19995,Avatar,1463,culture clash
19995,Avatar,2964,future
19995,Avatar,3386,space war
19995,Avatar,3388,space colony
19995,Avatar,3679,society
19995,Avatar,3801,space travel
19995,Avatar,9685,futuristic
19995,Avatar,9840,romance
19995,Avatar,9882,space
19995,Avatar,9951,alien
19995,Avatar,10148,tribe
19995,Avatar,10158,alien planet
19995,Avatar,10987,cgi
19995,Avatar,11399,marine
19995,Avatar,13065,soldier
19995,Avatar,14643,battle
19995,Avatar,14720,love affair
19995,Avatar,165431,anti war
19995,Avatar,193554,power relations
19995,Avatar,206690,mind and soul
19995,Avatar,209714,3d
285,Pirates of the Caribbean: At World's End,270,ocean
285,Pirates of the Caribbean: At World's End,726,drug abuse
285,Pirates of the Caribbean: At World's End,911,exotic island
285,Pirates of the Caribbean: At World's End,1319,east india trading company
285,Pirates of the Caribbean: At World's End,2038,love of one's life
285,Pirates of the Caribbean: At World's End,2052,traitor
285,Pirates of the Caribbean: At World's End,2580,shipwreck
285,Pirates of the Caribbean: At World's End,2660,strong woman
285,Pirates of the Caribbean: At World's End,3799,ship
285,Pirates of the Caribbean: At World's End,5740,alliance
285,Pirates of the Caribbean: At World's End,5941,calypso
285,Pirates of the Caribbean: At World's End,6155,afterlife
285,Pirates of the Caribbean: At World's End,6211,fighter
285,Pirates of the Caribbean: At World's End,12988,pirate
285,Pirates of the Caribbean: At World's End,157186,swashbuckler
285,Pirates of the Caribbean: At World's End,179430,aftercreditsstinger
206647,Spectre,470,spy
206647,Spectre,818,based on novel
206647,Spectre,4289,secret agent
206647,Spectre,9663,sequel
206647,Spectre,14555,mi6
206647,Spectre,156095,british secret service
206647,Spectre,158431,united kingdom
49026,The Dark Knight Rises,849,dc comics
49026,The Dark Knight Rises,853,crime fighter
49026,The Dark Knight Rises,949,terrorist
49026,The Dark Knight Rises,1308,secret identity
49026,The Dark Knight Rises,1437,burglar
49026,The Dark Knight Rises,3051,hostage drama
49026,The Dark Knight Rises,3562,time bomb
49026,The Dark Knight Rises,6969,gotham city
49026,The Dark Knight Rises,7002,vigilante
49026,The Dark Knight Rises,9665,cover-up
49026,The Dark Knight Rises,9715,superhero
49026,The Dark Knight Rises,9990,villainess
49026,The Dark Knight Rises,10044,tragic hero
49026,The Dark Knight Rises,13015,terrorism
49026,The Dark Knight Rises,14796,destruction
49026,The Dark Knight Rises,18933,catwoman
49026,The Dark Knight Rises,156082,cat burglar
49026,The Dark Knight Rises,156395,imax
49026,The Dark Knight Rises,173272,flood
49026,The Dark Knight Rises,179093,criminal underworld
49026,The Dark Knight Rises,230775,batman
