movie_id,title,id,name
19995,Avatar,289,Ingenious Film Partners
19995,Avatar,306,Twentieth Century Fox Film Corporation
19995,Avatar,444,Dune Entertainment
19995,Avatar,574,Lightstorm Entertainment
285,Pirates of the Caribbean: At World's End,2,Walt Disney Pictures
285,Pirates of the Caribbean: At World's End,130,Jerry Bruckheimer Films
285,Pirates of the Caribbean: At World's End,19936,Second Mate Productions
206647,Spectre,5,Columbia Pictures
206647,Spectre,10761,Danjaq
206647,Spectre,69434,B24
49026,The Dark Knight Rises,923,Legendary Pictures
49026,The Dark Knight Rises,6194,Warner Bros.
49026,The Dark Knight Rises,9993,DC Entertainment
49026,The Dark Knight Rises,9996,Syncopy
49529,John Carter,2,Walt Disney Pictures
559,Spider-Man 3,5,Columbia Pictures
559,Spider-Man 3,326,Laura Ziskin Productions
559,Spider-Man 3,19551,Marvel Enterprises
38757,Tangled,2,Walt Disney Pictures
38757,Tangled,6125,Walt Disney Animation Studios
99861,Avengers: Age of Ultron,420,Marvel Studios
99861,Avengers: Age of Ultron,15357,Prime Focus
99861,Avengers: Age of Ultron,76043,Revolution Sun Studios
767,Harry Potter and the Half-Blood Prince,6194,Warner Bros.
767,Harry Potter and the Half-Blood Prince,7364,Heyday Films
209112,Batman v Superman: Dawn of Justice,429,DC Comics
209112,Batman v Superman: Dawn of Justice,507,Atlas Entertainment
209112,Batman v Superman: Dawn of Justice,6194,Warner Bros.
209112,Batman v Superman: Dawn of Justice,9993,DC Entertainment
209112,Batman v Superman: Dawn of Justice,9995,Cruel & Unusual Films
209112,Batman v Superman: Dawn of Justice,41624,RatPac-Dune Entertainment
1452,Superman Returns,429,DC Comics
1452,Superman Returns,923,Legendary Pictures
1452,Superman Returns,6194,Warner Bros.
1452,Superman Returns,9168,Bad Hat Harry Productions
10764,Quantum of Solace,7576,Eon Productions
58,Pirates of the Caribbean: Dead Man's Chest,2,Walt Disney Pictures
58,Pirates of the Caribbean: Dead Man's Chest,130,Jerry Bruckheimer Films
58,Pirates of the Caribbean: Dead Man's Chest,19936,Second Mate Productions
57201,The Lone Ranger,2,Walt Disney Pictures
57201,The Lone Ranger,130,Jerry Bruckheimer Films
