movie_id,title,name,unknown,male,female,credits,net_to_date
5,Four Rooms,Tim Roth,0,1,0,0,0
11,Star Wars,Mark Hamill,0,1,0,0,0
12,Finding Nemo,Albert Brooks,0,1,0,2,16065873
13,Forrest Gump,Tom Hanks,0,1,0,4,443627333
14,American Beauty,Kevin Spacey,0,1,0,2,334475799
16,Dancer in the Dark,Björk,0,0,1,0,0
18,The Fifth Element,Bruce Willis,0,1,0,4,511118796
19,Metropolis,Brigitte Helm,0,0,1,0,0
20,My Life Without Me,Sarah Polley,0,0,1,1,21951622
22,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0,1,0,10,71063626
24,Kill Bill: Vol. 1,Uma Thurman,0,0,1,0,0
25,Jarhead,Jamie Foxx,0,1,0,3,84957941
28,Apocalypse Now,Martin Sheen,0,1,0,0,0
33,Unforgiven,Clint Eastwood,0,1,0,6,151697912
35,The Simpsons Movie,Dan Castellaneta,0,1,0,0,0
38,Eternal Sunshine of the Spotless Mind,Jim Carrey,0,1,0,13,1884396347
55,Amores perros,Gael García Bernal,0,1,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,0,1,0,16,1120367024
59,A History of Violence,Viggo Mortensen,0,1,0,2,7158154
62,2001: A Space Odyssey,Keir Dullea,0,1,0,0,0
65,8 Mile,Eminem,0,1,0,0,0
66,Absolute Power,Clint Eastwood,0,1,0,7,296855359
68,Brazil,Jonathan Pryce,0,1,0,0,0
69,Walk the Line,Joaquin Phoenix,0,1,0,3,-5847944
70,Million Dollar Baby,Clint Eastwood,0,1,0,10,337007318
71,Billy Elliot,Jamie Bell,0,1,0,0,0
73,American History X,Edward Norton,0,1,0,0,0
74,War of the Worlds,Tom Cruise,0,1,0,14,2993500521
75,Mars Attacks!,Jack Nicholson,0,1,0,7,569034153
76,Before Sunrise,Ethan Hawke,0,1,0,1,4733909
77,Memento,Guy Pearce,0,1,0,1,-9937594
78,Blade Runner,Harrison Ford,0,1,0,2,374155971
79,Hero,Jet Li,0,1,0,3,129174607
80,Before Sunset,Ethan Hawke,0,1,0,4,-37319556
83,Open Water,Blanchard Ryan,0,0,1,0,0
85,Raiders of the Lost Ark,Harrison Ford,0,1,0,1,2230000
87,Indiana Jones and the Temple of Doom,Harrison Ford,0,1,0,3,379295589
89,Indiana Jones and the Last Crusade,Harrison Ford,0,1,0,5,741002582
90,Beverly Hills Cop,Eddie Murphy,0,1,0,1,49800000
95,Armageddon,Bruce Willis,0,1,0,7,757352588
96,Beverly Hills Cop II,Eddie Murphy,0,1,0,3,405978417
98,Gladiator,Russell Crowe,0,1,0,1,-19111857
100,"Lock, Stock and Two Smoking Barrels",Jason Flemyng,0,1,0,0,0
103,Taxi Driver,Robert De Niro,0,1,0,0,0
104,Run Lola Run,Franka Potente,0,0,1,0,0
105,Back to the Future,Michael J. Fox,0,1,0,0,0
106,Predator,Arnold Schwarzenegger,0,1,0,5,249633918
107,Snatch,Jason Statham,0,1,0,0,0
111,Scarface,Al Pacino,0,1,0,1,34542841
114,Pretty Woman,Julia Roberts,0,0,1,0,0
115,The Big Lebowski,Jeff Bridges,0,1,0,2,-9804509
116,Match Point,Jonathan Rhys Meyers,0,1,0,0,0
117,The Untouchables,Kevin Costner,0,1,0,0,0
118,Charlie and the Chocolate Factory,Johnny Depp,0,1,0,14,718203200
120,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,0,1,0,3,-18194409
121,The Lord of the Rings: The Two Towers,Elijah Wood,0,1,0,4,760173955
122,The Lord of the Rings: The Return of the King,Elijah Wood,0,1,0,5,1607461355
128,Princess Mononoke,Yōji Matsuda,1,0,0,0,0
129,Spirited Away,Rumi Hiiragi,1,0,0,0,0
134,"O Brother, Where Art Thou?",George Clooney,0,1,0,6,401513311
137,Groundhog Day,Bill Murray,0,1,0,2,102750353
141,Donnie Darko,Jake Gyllenhaal,0,1,0,0,0
142,Brokeback Mountain,Heath Ledger,0,1,0,5,78725357
146,"Crouching Tiger, Hidden Dragon",Chow Yun-fat,0,1,0,1,-10795071
149,Akira,Mitsuo Iwata,1,0,0,0,0
