movie_id,title,name,unknown,male,female,credits,net_to_date
44718,Get Low,Aaron Schneider,0,1,0,0,0
9760,Epic Movie,Aaron Seltzer,0,1,0,1,28548426
13805,Disaster Movie,Aaron Seltzer,0,1,0,3,150060821
10073,Date Movie,Aaron Seltzer,0,1,0,0,0
7278,Meet the Spartans,Aaron Seltzer,0,1,0,2,95413990
40264,Vampires Suck,Aaron Seltzer,0,1,0,4,139170105
21612,The Funeral,Abel Ferrara,0,1,0,0,0
8390,"Definitely, Maybe",Adam Brooks,0,1,0,0,0
291362,Road Hard,Adam Carolla,1,0,0,0,0
25428,I Love Your Work,Adam Goldberg,0,1,0,0,0
11908,Hatchet,Adam Green,0,1,0,0,0
15544,Extreme Movie,Adam Jay Epstein,0,1,0,0,0
10285,Jason Goes to Hell: The Final Friday,Adam Marcus,0,1,0,0,0
318846,The Big Short,Adam McKay,0,1,0,5,412229949
27581,The Other Guys,Adam McKay,0,1,0,3,218148007
109443,Anchorman 2: The Legend Continues,Adam McKay,0,1,0,4,288580934
8699,Anchorman: The Legend of Ron Burgundy,Adam McKay,0,1,0,0,0
12133,Step Brothers,Adam McKay,0,1,0,2,155040365
9718,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,0,1,0,1,64574188
14256,Winter Passing,Adam Rapp,1,0,0,0,0
9781,Detroit Rock City,Adam Rifkin,0,1,0,0,0
2018,The Wedding Planner,Adam Shankman,0,1,0,0,0
80585,Rock of Ages,Adam Shankman,0,1,0,7,502144160
10678,Bringing Down the House,Adam Shankman,0,1,0,2,89955598
10022,The Pacifier,Adam Shankman,0,1,0,3,202631000
10202,Bedtime Stories,Adam Shankman,0,1,0,6,369269718
2976,Hairspray,Adam Shankman,0,1,0,5,328819710
10229,A Walk to Remember,Adam Shankman,0,1,0,1,59728529
9641,Cheaper by the Dozen 2,Adam Shankman,0,1,0,4,259637880
535,Flashdance,Adrian Lyne,0,1,0,0,0
2251,Unfaithful,Adrian Lyne,0,1,0,3,384802818
10068,Nine 1/2 Weeks,Adrian Lyne,0,1,0,1,88921203
10998,Fatal Attraction,Adrian Lyne,0,1,0,2,78657125
10758,Waitress,Adrienne Shelly,0,0,1,0,0
1590,Copying Beethoven,Agnieszka Holland,0,0,1,0,0
36419,After.Life,Agnieszka Wojtowicz-Vosloo,0,0,1,0,0
13495,Alatriste,Agustín Díaz Yanes,1,0,0,0,0
73532,Le Havre,Aki Kaurismäki,1,0,0,0,0
346,Seven Samurai,Akira Kurosawa,0,1,0,0,0
137321,Winter's Tale,Akiva Goldsman,0,1,0,0,0
10074,Hot Rod,Akiva Schaffer,0,1,0,0,0
