movie_id,title,Action,Adventure,Fantasy,Science Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV Movie
5.0,Four Rooms,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.0,Star Wars,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,Finding Nemo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13.0,Forrest Gump,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14.0,American Beauty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,Dancer in the Dark,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18.0,The Fifth Element,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,Metropolis,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,My Life Without Me,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22.0,Pirates of the Caribbean: The Curse of the Black Pearl,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,Kill Bill: Vol. 1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,Jarhead,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28.0,Apocalypse Now,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33.0,Unforgiven,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,The Simpsons Movie,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
38.0,Eternal Sunshine of the Spotless Mind,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55.0,Amores perros,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0,Pirates of the Caribbean: Dead Man's Chest,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.0,A History of Violence,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62.0,2001: A Space Odyssey,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65.0,8 Mile,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.0,Absolute Power,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68.0,Brazil,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69.0,Walk the Line,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70.0,Million Dollar Baby,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.0,Billy Elliot,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
73.0,American History X,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.0,War of the Worlds,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75.0,Mars Attacks!,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76.0,Before Sunrise,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77.0,Memento,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
78.0,Blade Runner,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79.0,Hero,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80.0,Before Sunset,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83.0,Open Water,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85.0,Raiders of the Lost Ark,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.0,Indiana Jones and the Temple of Doom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.0,Indiana Jones and the Last Crusade,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,Beverly Hills Cop,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95.0,Armageddon,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96.0,Beverly Hills Cop II,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98.0,Gladiator,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,"Lock, Stock and Two Smoking Barrels",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103.0,Taxi Driver,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.0,Run Lola Run,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105.0,Back to the Future,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
106.0,Predator,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,Snatch,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111.0,Scarface,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114.0,Pretty Woman,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
115.0,The Big Lebowski,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116.0,Match Point,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117.0,The Untouchables,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
118.0,Charlie and the Chocolate Factory,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
