movie_id,title,language_count
1830,Lord of War,8
14161,2012,8
43434,Carlos,8
612,Munich,8
10934,Under the Tuscan Sun,7
708,The Living Daylights,7
11535,Rollerball,7
1555,The Spanish Apartment,7
36669,Die Another Day,7
10204,Around the World in 80 Days,6
421,The Life Aquatic with Steve Zissou,6
622,The Ninth Gate,6
14283,The Red Violin,6
956,Mission: Impossible III,6
50456,Hanna,6
48171,The Rite,6
87827,Life of Pi,6
57825,Bride & Prejudice,6
231,Syriana,6
13448,Angels & Demons,6
1813,The Devil's Advocate,6
1164,Babel,6
597,Titanic,6
14844,Chasing Liberty,6
9552,The Exorcist,6
9315,Flightplan,6
10764,Quantum of Solace,5
2057,Original Sin,5
6538,Charlie Wilson's War,5
1535,Spy Game,5
9352,EuroTrip,5
6687,Transsiberian,5
4327,Charlie's Angels,5
6623,The Peacemaker,5
594,The Terminal,5
163,Ocean's Twelve,5
29920,Easy Money,5
5174,Rush Hour 3,5
24438,Did You Hear About the Morgans?,5
58233,Johnny English Reborn,5
206647,Spectre,5
8416,The Conformist,5
4959,The International,5
1907,The Beach,5
5902,A Bridge Too Far,5
4614,The Sum of All Fears,5
10048,Stealth,5
18254,Reds,5
56292,Mission: Impossible - Ghost Protocol,5
6114,Dracula,5
217708,Of Horses and Men,5
18840,The White Countess,5
1640,Crash,5
13007,Religulous,5
16727,The Namesake,5
11683,Land of the Dead,5
11411,Superman IV: The Quest for Peace,5
41488,The Statement,5
2501,The Bourne Identity,5
10935,Heaven's Gate,5
2266,"Paris, je t'aime",5
2252,Eastern Promises,5
714,Tomorrow Never Dies,5
2503,The Bourne Ultimatum,5
46435,Topsy Turvy,5
41508,Fateless,5
37710,The Tourist,5
78,Blade Runner,5
746,The Last Emperor,5
85,Raiders of the Lost Ark,5
953,Madagascar,5
7451,xXx,5
435,The Day After Tomorrow,5
7979,The Kite Runner,5
240832,Lucy,5
49538,X-Men: First Class,5
45958,Biutiful,4
48138,Unknown,4
279,Amadeus,4
49013,Cars 2,4
20406,Rockaway,4
19489,Held Up,4
11545,Rushmore,4
5925,The Great Escape,4
9075,Black Book,4
266856,The Theory of Everything,4
1726,Iron Man,4
11551,Small Soldiers,4
1722,Captain Corelli's Mandolin,4
38985,Sorcerer,4
11453,Deuce Bigalow: European Gigolo,4
5780,Torn Curtain,4
9809,Let's Go to Prison,4
179144,The Great Beauty,4
9008,The Insider,4
591,The Da Vinci Code,4
271110,Captain America: Civil War,4
173931,Legend of a Rabbit,4
59436,Midnight in Paris,4
37903,The White Ribbon,4
242,The Godfather: Part III,4
203801,The Man from U.N.C.L.E.,4
201088,Blackhat,4
289,Casablanca,4
9045,Amen.,4
1495,Kingdom of Heaven,4
1493,Miss Congeniality,4
6968,The Baader Meinhof Complex,4
393,Kill Bill: Vol. 2,4
10183,Frozen River,4
20083,Shinjuku Incident,4
152760,The Monuments Men,4
51497,Fast Five,4
257932,Dragon Nest: Warriors' Dawn,4
10878,Saving Silverman,4
332,Inspector Gadget,4
38543,Ironclad,4
409,The English Patient,4
327,Brother,4
34723,The Adventures of Huck Finn,4
36955,True Lies,4
874,A Man for All Seasons,4
6477,Alvin and the Chipmunks,4
9027,The Guru,4
53457,Sarah's Key,4
49517,Tinker Tailor Soldier Spy,4
864,Cool Runnings,4
36670,Never Say Never Again,4
857,Saving Private Ryan,4
256917,The Water Diviner,4
424,Schindler's List,4
8055,The Reader,4
1523,The Last King of Scotland,4
10992,Cats & Dogs,4
1648,Bill & Ted's Excellent Adventure,4
240,The Godfather: Part II,4
2359,Sicko,4
840,Close Encounters of the Third Kind,4
2268,The Golden Compass,4
9531,Superman III,4
4170,Trade,4
25353,La véritable histoire du Chat Botté,4
11661,Joyeux Noël,4
2034,Training Day,4
10625,Mean Girls,4
16869,Inglourious Basterds,4
12090,Just Married,4
58,Pirates of the Caribbean: Dead Man's Chest,4
16871,Drag Me to Hell,4
2011,Persepolis,4
629,The Usual Suspects,4
12103,Don't Say a Word,4
3536,U-571,4
11638,Guess Who,4
3089,Red River,4
365222,Ip Man 3,4
1985,The Constant Gardener,4
3131,Gangs of New York,4
16558,Duplicity,4
3472,Dirty Pretty Things,4
10431,War,4
22215,Cheri,4
10428,Hackers,4
657,From Russia with Love,4
11770,Shaolin Soccer,4
70670,Headhunters,4
42222,Julia,4
3989,Team America: World Police,4
11778,The Deer Hunter,4
15301,Twilight Zone: The Movie,4
8885,Waltz with Bashir,4
8681,Taken,4
115,The Big Lebowski,4
21755,The Brothers Bloom,4
13435,Antwone Fisher,4
1979,Fantastic 4: Rise of the Silver Surfer,4
182,The Good German,4
8982,The Protector,4
2502,The Bourne Supremacy,4
107846,Escape Plan,4
10534,White Squall,4
26389,From Paris with Love,4
2749,15 Minutes,4
79777,In the Land of Blood and Honey,4
2370,Topaz,4
14652,Bon voyage,4
102362,Dead Man Down,4
80278,The Impossible,4
818,Austin Powers in Goldmember,4
14757,Osama,4
16351,Ararat,4
25,Jarhead,4
96721,Rush,4
4442,The Brothers Grimm,4
16353,Ong Bak 2,4
21345,City of Life and Death,4
17139,Character,4
17182,Eye for an Eye,4
17708,Corky Romano,4
110415,Snowpiercer,4
11622,Blast from the Past,4
315011,Shin Godzilla,4
700,Octopussy,4
19898,Pandorum,3
41479,The Joneses,3
944,Lethal Weapon 4,3
19913,(500) Days of Summer,3
8054,The Imaginarium of Doctor Parnassus,3
228194,The Hundred-Foot Journey,3
177677,Mission: Impossible - Rogue Nation,3
947,Lawrence of Arabia,3
21208,Orphan,3
13389,Righteous Kill,3
13849,The Cottage,3
699,For Your Eyes Only,3
46738,Incendies,3
954,Mission: Impossible,3
710,GoldenEye,3
13405,The Children of Huang Shi,3
190955,Blood Ties,3
745,The Sixth Sense,3
8584,Shanghai Noon,3
202575,Thunder and the House of Magic,3
794,The Omen,3
8357,What the #$*! Do We (K)now!?,3
796,Cruel Intentions,3
13508,Who Killed the Electric Car?,3
44040,Devil,3
13537,Shattered Glass,3
44214,Black Swan,3
205126,Independence Daysaster,3
11152,The Ruins,3
844,2046,3
8427,I Spy,3
824,Moulin Rouge!,3
826,The Bridge on the River Kwai,3
834,Underworld: Evolution,3
205588,Our Kind of Traitor,3
11022,Narc,3
853,Enemy at the Gates,3
10027,Unleashed,3
19933,The Brave Little Toaster,3
44865,The Grandmaster,3
46415,Neal 'n' Nikki,3
11212,Baby's Day Out,3
8698,The League of Extraordinary Gentlemen,3
227306,Unbroken,3
920,Cars,3
762,Monty Python and the Holy Grail,3
8195,Ronin,3
11137,The Prince & Me,3
8198,The Quiet American,3
13491,Arn: The Knight Templar,3
192141,No Escape,3
768,From Hell,3
42819,The City of Your Final Destination,3
192210,Open Road,3
8619,Master and Commander: The Far Side of the World,3
8285,The Spirit,3
43546,Bathing Beauty,3
11023,Thirteen,3
10865,Atlantis: The Lost Empire,3
8007,Behind Enemy Lines,3
5072,Severance,3
2059,National Treasure,3
88751,Journey to the Center of the Earth,3
4108,The Transporter,3
68718,Django Unchained,3
90369,Now Is Good,3
2008,The Promise,3
1997,Two Brothers,3
4379,Monster-in-Law,3
1988,A Mighty Heart,3
1975,The Grudge 2,3
10368,Tea with Mussolini,3
14811,Fiddler on the Roof,3
4517,Elizabeth: The Golden Age,3
4550,Sympathy for Lady Vengeance,3
17264,The Black Stallion,3
1948,Crank,3
10357,Volcano,3
103663,The Hunt,3
62206,30 Minutes or Less,3
17654,District 9,3
10741,Bobby,3
60422,Another Happy Day,3
1887,Marie Antoinette,3
60421,Circumstance,3
1880,Red Dawn,3
2069,The Whole Nine Yards,3
4012,The Believer,3
87567,The Big Wedding,3
10623,Cradle 2 the Grave,3
10557,East Is East,3
76758,The Flowers of War,3
76349,1911,3
10527,Madagascar: Escape 2 Africa,3
80321,Madagascar 3: Europe's Most Wanted,3
10590,We Were Soldiers,3
82507,Sinister,3
82675,Taken 2,3
10477,Driven,3
10622,Mr. Nice Guy,3
15544,Extreme Movie,3
3175,Barry Lyndon,3
10410,Hoffa,3
72431,Red Tails,3
72387,Safe,3
84188,Compliance,3
15237,De-Lovely,3
16564,Winter in Wartime,3
2140,Kiss of the Dragon,3
2122,The Whole Ten Yards,3
10426,Friday After Next,3
15121,The Sound of Music,3
2110,Wasabi,3
87093,Big Eyes,3
4967,Keeping the Faith,3
59961,Safe House,3
10092,Cry_Wolf,3
109513,Hit & Run,3
14202,The Painted Veil,3
1551,Flatliners,3
6950,Outbreak,3
146216,RED 2,3
14164,Dragonball Evolution,3
152599,The Immigrant,3
1452,Superman Returns,3
50359,Hop,3
10162,Waking Ned,3
10156,History of the World: Part I,3
7364,Sahara,3
10985,The New Guy,3
1360,Frida,3
1359,American Psycho,3
13996,Bottle Shock,3
10138,Iron Man 2,3
10136,The Golden Child,3
19495,Nomad: The Warrior,3
1248,Hannibal Rising,3
48289,The Debt,3
1165,The Queen,3
7873,Harsh Times,3
1123,Catch a Fire,3
1116,The Wind That Shakes the Barley,3
10096,13 Going on 30,3
1571,Live Free or Die Hard,3
1572,Die Hard: With a Vengeance,3
10890,Stripes,3
10212,Ravenous,3
10761,Made of Honor,3
5175,Rush Hour 2,3
10307,Stigmata,3
115872,The Chambermaid on the Titanic,3
1771,Captain America: The First Avenger,3
10226,High Tension,3
1724,The Incredible Hulk,3
10220,Rounders,3
10219,Snow Falling on Cedars,3
14411,Sinbad: Legend of the Seven Seas,3
5971,We're No Angels,3
1656,The Legend of Zorro,3
11247,A Cinderella Story,3
6068,Six Days Seven Nights,3
18480,Brüno,3
1636,Bedazzled,3
10201,Yes Man,3
132344,Before Midnight,3
1620,Hitman,3
133698,Fly Me to the Moon,3
10197,Nine,3
1593,Night at the Museum,3
136795,The Heat,3
1591,Nowhere in Africa,3
691,The Spy Who Loved Me,3
2649,The Game,3
508,Love Actually,3
12093,Lilya 4-ever,3
37834,Knight and Day,3
37737,Kites,3
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3
29715,Major Dundee,3
479,Shaft,3
29917,Exam,3
9257,S.W.A.T.,3
464,As It Is in Heaven,3
37495,Four Lions,3
9486,Johnny English,3
11632,Vanity Fair,3
30596,Bodyguards and Assassins,3
37056,Letters to Juliet,3
9882,The Siege,3
9471,Charlie's Angels: Full Throttle,3
9280,Femme Fatale,3
179,The Interpreter,3
9289,The Longest Day,3
324322,They Will Have to Kill Us First,3
11431,Fever Pitch,3
9912,The World's Fastest Indian,3
9587,Little Women,3
137,Groundhog Day,3
76,Before Sunrise,3
22617,Dinner Rush,3
13051,Max Payne,3
11702,The Replacement Killers,3
89,Indiana Jones and the Last Crusade,3
11969,Tombstone,3
576,The Wild Bunch,3
28260,Return of the Living Dead 3,3
104,Run Lola Run,3
562,Die Hard,3
9557,Boat Trip,3
38448,Ondine,3
558,Spider-Man 2,3
114,Pretty Woman,3
9726,A Good Year,3
12779,Swept Away,3
38321,Priest,3
22821,The Boondock Saints II: All Saints Day,3
38167,Eat Pray Love,3
423,The Pianist,3
36658,X2,3
9455,The Corruptor,3
12154,3 Men and a Baby,3
334,Magnolia,3
293670,The Wailing,3
238,The Godfather,3
9829,United 93,3
34851,Predators,3
682,The Man with the Golden Gun,3
321,Mambo Italiano,3
252,Willy Wonka & the Chocolate Factory,3
296098,Bridge of Spies,3
311,Once Upon a Time in America,3
11519,1941,3
309,The Celebration,3
297596,Dying of the Light,3
9801,Bridget Jones: The Edge of Reason,3
298,Ocean's Thirteen,3
12271,Factory Girl,3
9366,Donnie Brasco,3
272,Batman Begins,3
9804,Waterworld,3
314385,By the Sea,3
12405,Slumdog Millionaire,3
9339,Click,3
319888,Eddie the Eagle,3
197,Braveheart,3
283708,Far from Men,3
403,Driving Miss Daisy,3
9870,Forgetting Sarah Marshall,3
36586,Blade II,3
12479,Breakfast of Champions,3
9779,The Sisterhood of the Traveling Pants,3
9444,Anastasia,3
12162,The Hurt Locker,3
12412,Miracle at St. Anna,3
12454,All or Nothing,3
387,Das Boot,3
35791,Resident Evil: Afterlife,3
217,Indiana Jones and the Kingdom of the Crystal Skull,3
9433,The Edge,3
11586,Exorcist II: The Heretic,3
290825,Yoga Hosers,3
9335,Transporter 2,3
256040,Baahubali: The Beginning,3
34043,On the Line,3
22314,In Too Deep,3
8859,"Dude, Where’s My Car?",3
41110,I Am Love,3
39209,Shalako,3
22301,Hell's Angels,3
24,Kill Bill: Vol. 1,3
27551,The Barbarians,3
9946,End of Days,3
9691,Assassins,3
40160,Meteor,3
28,Apocalypse Now,3
8874,My Best Friend's Wedding,3
8978,Assault on Precinct 13,3
9645,Ghost Ship,3
27205,Inception,3
