movie_id,title,name,unknown,male,female,credits,net_to_date
199373,The Frozen Ground,50 Cent,0,1,0,0,0
9059,Tales from the Crypt: Demon Knight,A L Katz,1,0,0,0,0
2604,Born on the Fourth of July,A. Kitman Ho,0,1,0,2,131999137
10537,The Doors,A. Kitman Ho,0,1,0,3,279000835
10132,Talk Radio,A. Kitman Ho,0,1,0,1,132530565
10586,The Ghost and the Darkness,A. Kitman Ho,0,1,0,6,439823226
9624,On Deadly Ground,A. Kitman Ho,0,1,0,5,440823226
205,Hotel Rwanda,A. Kitman Ho,0,1,0,7,464823226
792,Platoon,A. Kitman Ho,0,1,0,0,0
820,JFK,A. Kitman Ho,0,1,0,4,275417728
14024,Raise Your Voice,A.J. Dix,1,0,0,1,83060858
1954,The Butterfly Effect,A.J. Dix,1,0,0,0,0
21208,Orphan,Aaron Auch,1,0,0,0,0
14161,2012,Aaron Boyd,1,0,0,0,0
189,Sin City: A Dame to Kill For,Aaron Kaufman,1,0,0,1,3008161
106747,Machete Kills,Aaron Kaufman,1,0,0,0,0
339408,The Birth of a Nation,Aaron L. Gilbert,1,0,0,0,0
72766,Newlyweds,Aaron Lubin,1,0,0,0,0
14351,Crossover,Aaron Mazzolini,0,1,0,0,0
40688,Meet the Deedles,Aaron Meyerson,0,1,0,0,0
16323,The Rose,Aaron Russo,0,1,0,0,0
1621,Trading Places,Aaron Russo,0,1,0,1,19924648
12621,Hamlet 2,Aaron Ryder,0,1,0,1,69676311
70436,The Raven,Aaron Ryder,0,1,0,2,65610415
82505,House at the End of the Street,Aaron Ryder,0,1,0,3,69268166
1124,The Prestige,Aaron Ryder,0,1,0,0,0
103731,Mud,Aaron Ryder,0,1,0,4,106655297
7278,Meet the Spartans,Aaron Seltzer,0,1,0,0,0
13805,Disaster Movie,Aaron Seltzer,0,1,0,1,54646831
40264,Vampires Suck,Aaron Seltzer,0,1,0,2,43756115
8848,The Bank Job,Aaron Shuster,1,0,0,0,0
26379,Paa,Abhishek Bachchan,1,0,0,0,0
10105,Saints and Soldiers,Adam Abel,0,1,0,0,0
4836,Layer Cake,Adam Bohling,0,1,0,0,0
