,movie_id,title,budget,revenue,release_date,movie_url
0,20,My Life Without Me,2500000,12267275,3/7/2003,https://www.the-numbers.com//movie/My-Life-Without-Me#tab=summary
1,68,Brazil,15000000,9932146,2/20/1985,https://www.the-numbers.com//movie/Brazil-(1985)#tab=summary
2,309,The Celebration,1300000,1647780,5/20/1998,https://www.the-numbers.com//movie/Festen#tab=summary
3,311,Once Upon a Time in America,30000000,5564014,2/16/1984,https://www.the-numbers.com//movie/Once-Upon-a-Time-in-America#tab=summary
4,332,Inspector Gadget,75000000,97387965,7/23/1999,https://www.the-numbers.com//movie/Inspector-Gadget#tab=summary
5,342,Summer Storm,3000000,95204,9/2/2004,https://www.the-numbers.com//movie/Sommersturm#tab=summary
6,404,The Straight Story,10000000,6197866,10/15/1999,https://www.the-numbers.com//movie/Straight-Story-The#tab=summary
7,436,Maria Full of Grace,3200000,14441158,1/18/2004,https://www.the-numbers.com//movie/Maria-Full-of-Grace#tab=summary
8,464,As It Is in Heaven,,,9/3/2004,
9,468,My Own Private Idaho,2500000,6401336,10/17/1991,https://www.the-numbers.com//movie/My-Own-Private-Idaho#tab=summary
10,480,Monsoon Wedding,1200000,27025600,8/30/2001,https://www.the-numbers.com//movie/Monsoon-Wedding#tab=summary
11,540,D.E.B.S.,3500000,96793,1/21/2004,https://www.the-numbers.com//movie/D-E-B-S#tab=summary
12,542,The Crime of Padre Amaro,,,10/1/2002,
13,593,Solaris,,,3/20/1972,
14,766,Army of Darkness,11000000,21502976,10/9/1992,https://www.the-numbers.com//movie/Army-of-Darkness#tab=summary
15,811,Silent Running,,,3/9/1972,
16,850,A Christmas Story,3250000,20605209,11/18/1983,https://www.the-numbers.com//movie/Christmas-Story-A#tab=summary
17,905,Pandora's Box,,,1/30/1929,
18,979,Irreversible,5400000,8133256,5/22/2002,https://www.the-numbers.com//movie/Irreversible#tab=summary
19,987,The Front Page,4000000,15000000,12/1/1974,https://www.the-numbers.com//movie/Front-Page-The#tab=summary
20,1073,Arlington Road,21500000,24419219,3/19/1999,https://www.the-numbers.com//movie/Arlington-Road#tab=summary
21,1123,Catch a Fire,14000000,5782198,10/27/2006,https://www.the-numbers.com//movie/Catch-a-Fire#tab=summary
22,1257,Because I Said So,39000000,69538833,2/2/2007,https://www.the-numbers.com//movie/Because-I-Said-So#tab=summary
23,1282,Dogtown and Z-Boys,400000,1600566,1/18/2001,https://www.the-numbers.com//movie/Dogtown-and-Z-Boys#tab=summary
24,1382,Me and You and Everyone We Know,2000000,9615464,6/17/2005,https://www.the-numbers.com//movie/Me-and-You-and-Everyone-We-Know#tab=summary
25,1412,"Sex, Lies, and Videotape",1200000,36741667,8/18/1989,https://www.the-numbers.com//movie/Sex-Lies-and-Videotape#tab=summary
26,1424,November,250000,191862,7/22/2004,https://www.the-numbers.com//movie/November#tab=summary
27,1439,Anna and the King,75000000,39251128,12/16/1999,https://www.the-numbers.com//movie/Anna-and-the-King#tab=summary
28,1494,Curse of the Golden Flower,45000000,76904429,12/21/2006,https://www.the-numbers.com//movie/Man-cheng-jin-dai-huang-jin-jia#tab=summary
29,1544,Imagine Me & You,7900000,3129471,2/1/2005,https://www.the-numbers.com//movie/Imagine-Me-and-You#tab=summary
30,1546,Thumbsucker,4000000,1919197,1/23/2005,https://www.the-numbers.com//movie/Thumbsucker#tab=summary
31,1548,Ghost World,5500000,8761608,7/20/2001,https://www.the-numbers.com//movie/Ghost-World#tab=summary
32,1550,Pieces of April,300000,3571253,1/19/2003,https://www.the-numbers.com//movie/Pieces-of-April#tab=summary
33,1590,Copying Beethoven,11000000,6586324,9/10/2006,https://www.the-numbers.com//movie/Copying-Beethoven#tab=summary
34,1591,Nowhere in Africa,6500000,6173485,12/11/2001,https://www.the-numbers.com//movie/Nowhere-in-Africa#tab=summary
35,1599,I Heart Huckabees,22000000,20034713,9/10/2004,https://www.the-numbers.com//movie/I-Heart-Huckabees#tab=summary
36,1649,Bill & Ted's Bogus Journey,20000000,37537675,7/19/1991,https://www.the-numbers.com//movie/Bill-and-Teds-Bogus-Journey#tab=summary
37,1651,Mississippi Mermaid,,,6/18/1969,
38,1696,The Devil's Rejects,7000000,20940428,7/22/2005,https://www.the-numbers.com//movie/Devils-Rejects-The#tab=summary
39,1698,Anatomy,2500000,9598,2/3/2000,https://www.the-numbers.com//movie/Anatomie#tab=summary
40,1710,Copycat,20000000,32051917,10/27/1995,https://www.the-numbers.com//movie/Copycat#tab=summary
41,1808,Velvet Goldmine,9000000,4313644,10/23/1998,https://www.the-numbers.com//movie/Velvet-Goldmine#tab=summary
42,1809,The Rules of Attraction,4000000,11799060,10/11/2002,https://www.the-numbers.com//movie/Rules-of-Attraction-The#tab=summary
43,1874,Goodbye Bafana,30000000,2717302,2/11/2007,https://www.the-numbers.com//movie/Goodbye-Bafana#tab=summary
44,1901,In Good Company,26000000,63489752,12/29/2004,https://www.the-numbers.com//movie/In-Good-Company#tab=summary
45,1933,The Others,17000000,207765056,8/2/2001,https://www.the-numbers.com//movie/Others-The#tab=summary
46,1950,Lucky You,55000000,6521829,5/1/2007,https://www.the-numbers.com//movie/Lucky-You#tab=summary
47,1956,Gerry,7000000,719699,1/12/2002,https://www.the-numbers.com//movie/Gerry#tab=summary
48,1958,8 Women,8000000,42376425,1/8/2002,https://www.the-numbers.com//movie/8-femmes#tab=summary
