movie_id,title,budget,revenue,runtime,release_month,release_year,release_dow,actor_gender,actor_credits,actor_net_to_date,producer_gender,producer_credits,producer_net_to_date,writer_gender,writer_credits,writer_net_to_date,director_gender,director_credits,director_net_to_date,genre_count,language_count,net,target
19995,Avatar,237000000,2787965087,162,12,2009,3,2,0,0,2,3,2328916599,2,1,420000000,2,6,2585704352,4,2,2550965087,1
99861,Avengers: Age of Ultron,280000000,1405403694,141,4,2015,2,2,11,3940617206,2,8,4891494230,2,1,-130536,2,2,1299427374,3,1,1125403694,1
41154,Men in Black 3,225000000,624026776,106,5,2012,2,2,12,3150078356,2,4,957515311,0,0,0,2,6,1068161961,3,1,399026776,1
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,144,12,2014,2,2,2,762878416,2,5,2031848765,2,0,0,2,8,4499623032,3,1,706019788,1
37724,Skyfall,200000000,1108561013,143,10,2012,3,2,6,955438019,1,6,1871145305,2,2,77012923,2,5,505313187,3,1,908561013,1
534,Terminator Salvation,200000000,371353001,115,5,2009,2,2,8,1043812724,2,0,0,2,1,59423648,2,3,289826697,3,2,171353001,1
168259,Furious 7,190000000,1506249360,137,4,2015,2,2,9,866986795,2,3,706317639,2,0,0,2,4,500195419,1,1,1316249360,1
14161,2012,200000000,769653595,158,10,2009,5,2,11,160061851,2,8,751824274,2,0,0,2,3,1266536012,3,8,569653595,1
76757,Jupiter Ascending,176000003,183987723,124,2,2015,2,1,0,0,2,1,46126565,1,2,374463149,1,5,1240562378,4,1,7987720,1
246655,X-Men: Apocalypse,178000000,543934787,144,5,2016,2,2,5,254526261,1,6,1585962509,2,0,0,2,7,1283300214,1,1,365934787,1
44826,Hugo,170000000,185770160,126,11,2011,1,2,4,42062636,2,0,0,0,0,0,2,17,777557281,3,1,15770160,1
297761,Suicide Squad,175000000,745000000,123,8,2016,1,2,15,3668331885,0,17,3855513284,0,2,126326424,0,5,216989715,5,1,570000000,1
119450,Dawn of the Planet of the Apes,170000000,710644566,130,6,2014,3,2,1,-3495040,2,1,389860185,0,2,124109454,2,3,147566027,4,1,540644566,1
79698,The Lovers,35000000,11106,109,2,2015,4,2,7,198637053,2,1,-13371787,0,0,0,0,2,-71596603,4,1,-34988894,0
157336,Interstellar,165000000,675120017,169,11,2014,2,2,13,344946643,2,2,735209075,2,0,0,2,7,2712363217,3,1,510120017,1
49538,X-Men: First Class,160000000,353624124,132,5,2011,1,2,2,62413270,1,3,169362631,2,0,0,2,3,139099143,3,5,193624124,1
2080,X-Men Origins: Wolverine,150000000,373062864,107,4,2009,1,2,4,214800072,2,0,0,0,0,0,2,2,4128641,4,1,223062864,1
76341,Mad Max: Fury Road,150000000,378858340,120,5,2015,2,2,3,-46587843,2,4,508008844,2,2,304742074,2,6,429999462,4,1,228858340,1
956,Mission: Impossible III,150000000,397850012,126,5,2006,2,2,15,3453239900,2,4,1251231786,2,1,13642838,2,0,0,3,6,247850012,1
117251,White House Down,150000000,205366737,131,6,2013,3,2,4,408150324,2,9,1321477869,2,0,0,2,5,1821584694,3,1,55366737,1
140300,Kung Fu Panda 3,145000000,521170825,95,1,2016,5,2,9,1404921912,1,1,515692281,2,1,267695435,1,1,515692281,5,1,376170825,1
13475,Star Trek,150000000,385680446,127,5,2009,2,2,0,0,2,2,143420414,2,0,0,2,1,247850012,3,1,235680446,1
82702,How to Train Your Dragon 2,145000000,609123048,102,6,2014,3,2,1,329878759,1,2,673432792,2,0,0,2,0,0,6,1,464123048,1
72559,G.I. Joe: Retaliation,130000000,371876278,110,3,2013,1,2,12,594151721,2,12,524728743,0,1,78791382,2,3,342550463,4,1,241876278,1
65759,Happy Feet Two,130000000,150406466,100,11,2011,3,2,8,2924390073,2,3,487602378,2,1,284335608,2,5,409592996,3,1,20406466,1
281957,The Revenant,135000000,532950503,156,12,2015,4,2,15,2460925782,2,14,452680403,2,0,0,2,5,244569106,4,2,397950503,1
44896,Rango,135000000,245724603,107,3,2011,2,2,19,2825758205,2,0,0,2,1,-33711680,2,5,2124998844,5,1,110724603,1
27576,Salt,110000000,293329073,100,7,2010,2,1,9,755337463,2,7,271810005,2,2,74760937,2,7,414819513,3,3,183329073,1
86834,Noah,125000000,362637473,139,3,2014,3,2,11,853913188,2,22,1016208326,2,0,0,2,5,339863876,2,1,237637473,1
17578,The Adventures of Tintin,130000000,371940071,107,10,2011,1,2,3,90695964,2,12,2454337297,2,0,0,2,22,6747250827,3,1,241940071,1
324668,Jason Bourne,120000000,415484914,123,7,2016,2,2,22,1827826795,2,8,3124549550,2,0,0,2,5,682493340,2,1,295484914,1
70981,Prometheus,130000000,403170142,124,5,2012,2,1,0,0,2,4,184265692,2,0,0,2,12,930184803,3,1,273170142,1
68724,Elysium,115000000,286140700,109,8,2013,2,2,19,1049540170,2,0,0,2,0,0,2,1,180819611,4,1,171140700,1
2789,The Chronicles of Riddick,105000000,115772733,119,6,2004,4,2,3,245986967,2,3,47163556,0,1,902679,0,1,30187659,2,1,10772733,1
7459,Speed Racer,120000000,93945766,135,5,2008,4,2,5,24120418,2,22,2358818122,1,1,400517383,1,4,1266616612,3,1,-26054234,0
42888,How Do You Know,120000000,48668907,121,12,2010,4,1,5,392290227,2,4,596440744,2,0,0,2,2,239219378,3,1,-71331093,0
37834,Knight and Day,117000000,261930431,109,6,2010,1,2,17,3826365912,1,9,587887921,2,0,0,2,6,291385794,2,3,144930431,1
49519,The Croods,135000000,585178928,98,3,2013,2,2,24,1216407988,0,0,0,0,0,0,2,2,395650286,5,1,450178928,1
98566,Teenage Mutant Ninja Turtles,125000000,477200000,101,8,2014,3,1,1,15556061,2,8,562807703,0,0,0,0,4,358274277,5,1,352200000,1
49047,Gravity,105000000,716392705,91,9,2013,4,1,17,1276742403,2,6,3854173566,2,0,0,2,3,682380997,3,1,611392705,1
13700,Home on the Range,110000000,103951461,76,4,2004,4,1,0,0,0,0,0,2,0,0,2,0,0,2,2,-6048539,0
280,Terminator 2: Judgment Day,100000000,520000000,137,7,1991,0,2,10,925881568,2,0,0,2,0,0,2,3,256787753,3,2,420000000,1
4982,American Gangster,100000000,266465037,157,11,2007,4,2,17,770309153,2,24,2591502335,2,0,0,2,9,609770128,2,1,166465037,1
39451,Little Fockers,100000000,310650585,98,12,2010,1,2,23,627792644,2,10,929715564,2,0,0,2,3,15973450,2,1,210650585,1
9268,Eraser,100000000,242295562,115,6,1996,4,2,13,1662062468,2,2,619187619,2,0,0,2,2,368376629,4,1,142295562,1
68718,Django Unchained,100000000,425368238,165,12,2012,1,2,7,285134903,1,0,0,2,3,413541057,2,6,769302442,2,3,325368238,1
9946,End of Days,100000000,211989043,121,11,1999,2,2,15,1874190419,2,1,2507368,2,0,0,2,2,48603189,4,3,111989043,1
18162,Land of the Lost,100000000,68688831,102,6,2009,4,2,10,501011073,2,1,11070433,2,0,0,0,3,370624358,3,1,-31311169,0
22972,Green Zone,100000000,94882889,115,3,2010,3,2,12,775146522,2,1,61286096,2,2,114470307,2,3,647610451,5,2,-5117111,0
227973,The Peanuts Movie,99000000,246233113,88,11,2015,3,2,0,0,2,0,0,0,0,0,2,1,782244782,1,1,147233113,1
29193,The Spanish Prisoner,10000000,13835130,110,9,1997,0,2,1,-1043411,1,1,-9313159,2,1,51270454,2,0,0,4,1,3835130,1
76758,The Flowers of War,94000000,95311434,145,12,2011,3,2,10,1349270345,0,0,0,0,0,0,2,4,247473752,3,3,1311434,1
9408,Surf's Up,85000000,149044513,85,6,2007,4,2,3,88030456,2,0,0,1,0,0,2,0,0,3,1,64044513,1
37786,Sex and the City 2,100000000,288347692,146,5,2010,2,1,0,0,1,0,0,2,0,0,2,0,0,3,2,188347692,1
157353,Transcendence,100000000,103039258,119,4,2014,2,2,23,3532013669,2,3,198303606,0,0,0,2,0,0,4,1,3039258,1
331,Jurassic Park III,93000000,368780809,92,7,2001,2,2,1,857100000,2,4,70624645,2,0,0,2,0,0,4,2,275780809,1
47964,A Good Day to Die Hard,92000000,304654182,98,2,2013,2,2,27,2689802005,2,2,101286748,0,0,0,2,3,78179287,2,2,212654182,1
44048,Unstoppable,100000000,167805466,98,11,2010,3,2,21,1079274215,2,5,1047031529,0,1,56303988,2,11,1082615273,2,1,67805466,1
65754,The Girl with the Dragon Tattoo,90000000,232617430,158,12,2011,2,2,5,812820589,2,20,1275051821,2,1,-45549103,2,8,1038398532,4,1,142617430,1
9836,Happy Feet,100000000,384335608,108,11,2006,3,2,6,2632350334,2,2,203266770,2,0,0,2,4,125257388,2,1,284335608,1
76492,Hotel Transylvania,85000000,358375603,91,9,2012,3,2,18,1462597473,1,0,0,0,0,0,0,0,0,4,1,273375603,1
59961,Safe House,85000000,208076205,115,2,2012,3,2,22,1147079681,2,4,45145470,0,0,0,2,1,5912403,2,3,123076205,1
9798,Enemy of the State,90000000,250649836,132,11,1998,4,2,2,864376292,2,11,2153666691,2,0,0,2,6,787511535,3,1,160649836,1
10159,The Rundown,85000000,80916492,104,9,2003,4,2,1,105333180,2,2,127165792,2,0,0,2,1,-20101588,4,2,-4083508,0
9341,The Core,60000000,74208267,136,3,2003,4,2,1,2858661,0,0,0,0,0,0,2,3,152258068,4,1,14208267,1
9339,Click,82500000,237681299,107,6,2006,3,2,9,689183383,2,0,0,2,0,0,2,2,125170541,4,3,155181299,1
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,82,7,2010,4,2,2,-5349181,2,6,-16043225,2,0,0,2,0,0,2,2,27483764,1
146216,RED 2,84000000,137162560,116,7,2013,3,2,28,2902456187,2,13,766605021,0,0,0,2,3,143153344,4,3,53162560,1
754,Face/Off,80000000,245676146,138,6,1997,4,2,6,680900683,2,0,0,2,0,0,2,1,100270147,4,2,165676146,1
13027,Eagle Eye,80000000,178066569,118,9,2008,3,2,5,711784749,2,0,0,0,0,0,2,2,80436832,3,1,98066569,1
20504,The Book of Eli,80000000,157107755,118,1,2010,3,2,20,1002166460,2,5,255803350,2,0,0,2,2,63958115,3,1,77107755,1
2300,Space Jam,80000000,250200000,88,11,1996,4,2,0,0,2,5,435337070,2,1,-6146000,2,0,0,5,1,170200000,1
8834,Conspiracy Theory,75000000,136982834,135,8,1997,3,2,7,783963198,2,11,766389123,2,0,0,2,7,565909927,4,1,61982834,1
228150,Fury,68000000,211817906,135,10,2014,2,2,16,1863960269,0,2,23634902,0,1,-17491482,0,4,73171809,3,1,143817906,1
159824,Hotel Transylvania 2,80000000,473226958,89,9,2015,0,2,21,2058594445,2,0,0,0,1,273375603,0,1,273375603,3,2,393226958,1
19959,Surrogates,80000000,122444772,89,9,2009,3,2,23,2555845301,2,1,277375031,2,2,230776649,2,3,314825559,3,2,42444772,1
